SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A048056065	31.4	207	44	85	2.27	99	24	11.25	1.91	0.8	2.5	8.5	136	3.09	50.7	0.4	11.7	20.2	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	F	65	7	1
A048056266	31.4	118	56	149	2.04	100	NA	5.73	1.56	0.44	2.73	NA	132	3.37	58	NA	NA	26.5	137	summer	6	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	65	3	2
A048056619	29	97	41	153	2.14	102	21	10.39	1.47	0.53	2.29	NA	138	2.74	46	0.33	9.7	26.5	NA	NA	NA	NA	G4.3:B5.2(3) G4.3:F2.2(3)	M	73	3	3
A048056786	32.8	163	25	118	2.18	100	22	10.05	1.52	0.35	2.3	NA	134	2.53	46.6	0.41	7.6	20.4	103	spring	5	2003	B2.2:E1.1(6) B2.2:A2.1(5)	F	73	3	2
A048057565	31.6	156	51	211	2.13	104	17	5.16	1.87	0.26	2.74	NA	139	2.6	52.1	0.45	8.3	18.1	131	spring	5	2003	B4.3:E5.2(3) B4.3:A1.2(3)	F	67	3	1
A048057587	27.5	131	37	123	2.14	100	23	NA	1.71	0.41	1.73	NA	133	2.76	42.6	0.33	6.8	19.9	NA	NA	NA	NA	C1.3:F3.2(3) C1.3:B1.2(3)	F	74	4	1
A048057608	27.5	124	19	66	2.08	100	20	11.19	1.93	0.31	2.58	NA	136	2.96	44.7	0.56	7.4	28.4	NA	NA	NA	NA	A2.3:D5.2(3) A2.3:H3.2(3)	M	73	3	1
A048057823	27.1	149	29	64	2.31	108	23	13.39	2.13	0.41	2.14	7.9	140	3.04	49.6	0.68	12.5	23.1	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	M	64	5	1
A048057856	24.4	128	34	85	2.27	117	23	13.72	1.4	0.67	2.37	9.3	150	2.55	43.4	0.81	NA	19.1	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	M	64	5	1
A048057883	28.9	82	35	112	2.24	103	22	5.69	1.54	0.37	2.81	NA	139	2.7	53.9	0.61	10	30.8	NA	NA	NA	NA	C2.2:F3.1(5) C2.2:B5.1(4)	M	64	5	1
A048058070	28.7	122	25	143	2.07	99	20	10.04	2.28	0.42	2.56	NA	133	3.35	46.1	0.91	6	26.9	NA	NA	NA	NA	C3.2:F5.1(1) C3.2:B2.1(5)	M	74	3	3
A048058554	31.8	150	45	367	1.98	96	17	6.19	1.03	0.32	NA	NA	129	2.55	51.7	0.1	7	19.5	117	spring	5	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	72	5	1
